form	lemma	POS	morph
Dex	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
seignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
mund	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
estoré	estorer	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
sor	sor2	PRE	MORPH=empty
tote	tot	DETind	NOMB.=s|GENRE=f|CAS=r
creature	crïature	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
raisnable	raisnable	ADJqua	NOMB.=s|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
puis	puis	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
dona	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
seignorie	seignorie	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
terrienes	terrïen	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
commanda	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
creistre	criembre	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
à	a3	PRE	MORPH=empty
mouteplier	moutepliier	VERinf	NOMB.=s|CAS=r
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
establi	establir	VERcjg	MODE=ind|NOMB.=s|GENRE=m|CAS=n
ke	que4	CONsub	MORPH=empty
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
deus	deus	PROcar	NOMB.=p|GENRE=m|CAS=r
vendreit	venir	VERcjg	MODE=con|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
tierz	tierz	PROord	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
plus	plus	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
chaude	chaut	ADJqua	NOMB.=s|GENRE=f|CAS=r
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
deseché	descendre	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
istreit	issir	VERcjg	MODE=con|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
semence	semence	NOMcom	NOMB.=s|GENRE=f|CAS=n
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
feme	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
ke	que2	PROrel	NOMB.=s|GENRE=f|CAS=n
plus	plus	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
freide	froit1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
mole	mol	NOMcom	NOMB.=s|GENRE=f|CAS=r
la	le	PROper	NOMB.=s|GENRE=f|CAS=r
recovreit	recovrer	VERcjg	MODE=con|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
atemprement	atemprement	NOMcom	NOMB.=s|GENRE=m|CAS=r
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
chalt	chaut	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
freit	froit1	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
sec	sec	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
moiste	moiste	NOMcom	NOMB.=s|GENRE=m|CAS=r
creistreit	croistre	VERcjg	MODE=ind|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
enfes	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Ices	ice2	DETdem	NOMB.=p|GENRE=f|CAS=n
quatre	catre	ADJcar	NOMB.=p|GENRE=f|CAS=n
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
necessaire	necessaire	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ad	avoir	VERcjg	MODE=ind|TEMPS=pst
herbes	erbe	NOMcom	NOMB.=p|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
arbres	arbre	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
blez	blé	ADJqua	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
ke	que4	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
femes	feme	NOMcom	NOMB.=p|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
plus	plus	ADVgen	DEGRE=c
fieble	fiefle	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
plus	plus	ADVgen	DEGRE=c
fieble	fiefle	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
qualité	calité	NOMcom	NOMB.=s|GENRE=f|CAS=r
ke	que4	CONsub	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
ome	ome	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
ount	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
greignor	graignor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=c
travail	travail	NOMcom	NOMB.=p|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
enfanter	enfanter	VERinf	MORPH=empty
pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
que	que4	CONsub	MORPH=empty
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
avienent	avenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
plusors	plusor	DETind	NOMB.=p|GENRE=f|CAS=r
enfermetez	enfermeté1	NOMcom	NOMB.=p|GENRE=f|CAS=n
ke	que4	CONsub	MORPH=empty
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
homes	ome	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
maiesmement	mëismement	ADVgen	DEGRE=-
à	a3	PRE	MORPH=empty
cels	cel	DETdem	NOMB.=p|GENRE=m|CAS=r
membres	membre	NOMcom	NOMB.=p|GENRE=m|CAS=r
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
à	a3	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
engedreure	enferdëor2	NOMcom	NOMB.=s|GENRE=f|CAS=r
apenent	apaner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
ke	que4	CONsub	MORPH=empty
femes	feme	NOMcom	NOMB.=p|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
plus	plus	ADVgen	DEGRE=c
huntoses	hontos	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
de	de	PRE	MORPH=empty
dire	dire	VERinf	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
enfermetez	enfermeté1	NOMcom	NOMB.=p|GENRE=f|CAS=r
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
homes	ome	NOMcom	NOMB.=p|GENRE=m|CAS=r
ke	que4	PROrel	MORPH=empty
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r
femes	feme	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
faz	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
icest	icest	DETdem	NOMB.=s|GENRE=m|CAS=n
livre	livre1	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
language	langage	NOMcom	NOMB.=s|GENRE=m|CAS=r
ke	que4	CONsub	MORPH=empty
eles	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
entendent	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
que	que4	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
unes	un	PROind	NOMB.=p|GENRE=f|CAS=n
sachent	sachier2	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
altres	autre	PROind	NOMB.=p|GENRE=m|CAS=r
aidier	aidier	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
sachent	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
que	que4	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
mielz	mieus	ADVgen	GENRE=m|CAS=r|DEGRE=c
ke	que2	PROrel	GENRE=m|CAS=r
apent	apendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
besoigne	besoigne	NOMcom	NOMB.=s|GENRE=f|CAS=r
à	a3	PRE	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
enfermetez	enfermeté1	NOMcom	NOMB.=p|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
jeo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
overé	ovrer	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
trové	trover	VERppe	NOMB.=s|GENRE=m|CAS=r
eu	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
livres	livre3	NOMcom	NOMB.=s|GENRE=m|CAS=r
Ypocras	Girard	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Galien	Galïen	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Costentin	Constantin	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Grand	grant	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Cleopatras	Claudas	NOMpro	TEMPS=fut|NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Diascorides	Diostacier	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Almasor	Almaos	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
Apollo	Apolin	NOMpro	TEMPS=psp|NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
Platearie	Platarie	NOMpro	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
Rogerine	Rorege	NOMpro	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
ici	ici	ADVgen	DEGRE=-
trouveront	trover	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
dont	dont	ADVgen	NOMB.=p|GENRE=m|CAS=i
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
mal	mal1	NOMcom	GENRE=m|CAS=n
les	il	PROper	NOMB.=p|GENRE=m|CAS=n
garrez	garir	VERppe	MODE=ind|NOMB.=p|CAS=n
.	.	PONfrt	MORPH=empty
